dimension_1,dimension_2,dimension_3,dimension_4,dimension_5,dimension_6,dimension_7,dimension_8,dimension_9,dimension_10
80,67,7,0,28,100,94,47,5,48
38,21,51,52,43,96,1,84,35,96
68,25,50,24,38,73,6,60,5,100
19,95,44,10,46,6,68,80,84,60
84,28,57,26,20,93,0,96,76,28
34,61,58,63,49,80,2,50,24,34
83,53,52,34,52,88,23,62,12,95
50,50,22,22,81,54,83,65,94,86
90,15,4,7,59,62,59,62,85,69
99,19,27,24,50,97,53,68,24,17
83,67,29,71,45,81,51,80,90,100
72,18,89,19,6,37,21,51,71,63
81,43,70,59,59,68,33,2,19,96
24,39,56,97,18,53,85,33,99,77
35,96,90,6,14,75,97,28,23,29
3,91,68,61,70,80,89,62,72,37
25,78,99,52,49,91,97,53,85,11
100,44,65,36,0,83,24,55,81,78
46,82,12,27,68,95,90,96,42,26
43,30,84,7,25,81,81,39,88,13
26,65,97,98,28,99,23,73,79,9
41,52,55,1,66,49,69,68,98,22
13,80,60,21,83,26,3,61,28,47
47,43,88,89,6,42,0,32,20,27
19,58,97,68,81,80,19,65,47,37
1,88,69,3,19,29,40,70,77,95
76,38,95,68,52,36,86,49,82,7
46,26,48,59,54,81,89,25,56,76
62,96,4,29,92,7,77,53,30,31
63,88,83,11,93,67,66,14,86,57
38,47,46,24,41,50,72,14,61,59
44,64,34,5,73,30,26,44,41,10
68,100,6,75,43,7,40,80,76,22
73,1,58,54,41,64,77,11,35,50
92,48,19,82,75,29,45,54,73,81
84,10,27,17,58,49,43,86,4,85
18,73,46,63,39,41,7,20,65,86
43,31,90,66,52,79,1,57,11,17
9,66,22,57,39,48,44,71,34,47
21,72,24,6,39,53,26,49,88,60
18,65,93,51,94,98,63,50,70,17
98,95,37,53,21,79,69,94,83,32
81,2,34,94,79,16,47,39,80,88
19,61,71,58,28,84,61,48,58,18
90,41,47,30,84,47,40,77,96,53
48,28,13,27,43,86,6,51,62,22
97,74,60,30,0,47,2,88,41,27
72,68,20,44,6,92,17,15,6,22
96,57,95,49,91,40,3,56,88,43
55,60,21,1,43,16,27,4,21,90
63,99,22,12,25,45,28,94,39,0
51,11,23,22,15,56,64,5,77,92
7,62,55,91,48,58,2,18,28,36
5,23,55,26,10,30,32,43,44,96
10,68,65,53,74,60,74,41,78,62
45,91,2,2,53,100,40,15,19,64
84,61,62,60,97,79,10,23,53,54
56,16,5,54,45,95,5,96,77,22
52,17,23,62,98,91,36,75,9,58
12,35,80,78,93,55,23,19,14,58
16,88,58,36,59,97,78,19,85,45
20,86,39,51,12,3,30,5,21,26
83,19,24,27,42,27,28,67,34,6
22,99,23,54,14,50,87,13,53,47
83,9,76,52,57,68,22,90,47,71
11,19,100,34,29,50,74,3,87,47
28,79,64,71,24,60,68,74,51,21
92,32,92,54,11,5,36,82,77,68
8,80,18,45,34,76,79,42,5,86
28,40,25,38,12,75,97,34,71,95
6,7,8,83,15,73,71,24,72,73
14,67,3,12,67,55,54,33,98,68
92,60,87,39,37,82,43,72,95,54
16,4,68,70,9,60,89,75,40,57
49,35,10,50,51,85,96,62,9,58
84,45,52,39,71,36,54,90,66,71
66,74,71,34,18,35,47,13,40,23
4,41,14,90,62,46,27,11,46,64
62,16,66,90,96,85,88,48,52,14
95,40,54,1,70,51,26,17,63,48
79,21,24,0,67,20,36,71,52,99
34,55,16,82,28,27,87,33,82,70
95,46,57,5,61,19,33,25,16,89
88,60,36,71,56,78,39,8,71,30
61,53,59,60,78,70,72,99,25,11
69,24,2,43,42,20,51,1,99,67
40,35,22,38,83,2,68,36,69,24
13,11,23,64,13,28,10,74,40,59
33,45,58,28,87,94,79,58,33,89
17,8,25,55,67,85,49,73,2,89
8,79,31,18,83,60,48,29,92,19
47,30,16,0,72,44,74,15,10,60
20,78,32,19,19,81,84,97,82,7
36,43,70,15,89,94,31,18,35,31
28,30,28,47,35,20,15,48,2,36
35,91,47,50,99,23,88,23,5,28
91,43,72,34,93,52,28,78,66,26
18,49,14,89,86,2,73,3,18,53
65,39,8,66,12,96,91,37,40,46
68,50,43,29,84,6,95,55,31,33
93,80,72,51,21,75,9,46,22,35
21,43,25,28,22,1,65,14,39,80
70,5,93,55,52,33,63,69,94,67
98,26,14,10,3,87,35,69,60,59
96,45,47,55,85,27,99,48,59,29
23,15,11,53,18,49,9,10,83,48
11,56,5,98,68,3,95,2,51,17
30,34,83,41,3,50,73,66,0,17
49,57,82,47,22,3,1,89,14,28
86,59,36,5,43,74,19,55,84,60
82,30,7,49,44,67,75,23,93,68
92,51,83,48,6,79,46,14,7,85
40,96,84,87,88,79,75,81,37,67
18,23,65,15,61,80,98,89,97,34
48,35,22,0,13,29,53,41,84,82
3,72,44,93,28,71,61,18,83,34
18,64,25,30,32,87,14,14,6,45
99,60,72,76,17,96,94,55,18,69
55,76,52,71,83,47,65,43,70,76
13,78,84,35,38,3,24,24,51,28
29,80,52,63,16,38,67,40,38,0
59,70,82,0,69,52,73,20,87,97
46,71,91,52,85,100,63,100,17,9
60,95,7,44,81,59,7,95,16,47
33,27,73,16,4,33,20,57,59,42
7,88,19,90,77,38,16,94,34,46
44,27,87,14,27,42,76,75,3,85
16,35,2,29,99,14,87,57,34,82
54,19,15,95,3,84,99,55,77,4
100,28,23,86,48,78,54,57,13,1
51,58,32,65,46,95,69,18,58,3
78,89,23,40,87,97,40,73,71,27
57,61,5,77,20,91,95,36,91,19
84,85,33,16,37,59,21,58,64,26
69,100,60,95,25,79,8,69,89,58
81,71,28,61,65,9,12,32,63,78
62,59,64,55,33,13,95,37,77,3
15,43,66,97,47,54,57,98,65,42
38,4,7,90,25,68,55,47,24,78
88,94,1,1,71,34,27,37,28,42
56,75,67,62,0,3,8,45,54,11
51,67,68,76,68,38,85,32,62,62
5,10,69,30,69,21,41,64,40,10
19,26,38,42,51,74,64,0,96,59
18,53,38,52,72,64,63,30,79,17
4,80,26,83,34,60,64,43,57,48
70,81,99,78,4,60,96,13,46,32
73,0,95,75,11,36,54,31,65,98
50,4,13,4,36,27,44,60,23,18
82,55,84,28,5,20,63,68,58,19
80,78,27,11,93,88,58,33,45,0
39,50,67,45,56,5,68,90,71,3
36,32,51,28,87,48,80,16,23,93
13,58,26,98,17,41,54,79,47,5
93,77,27,36,34,57,82,94,68,69
66,37,80,14,70,69,100,63,41,71
83,88,48,19,41,41,21,99,94,87
17,25,39,33,92,88,4,98,50,89
13,88,34,79,65,47,97,49,59,78
74,12,92,11,91,13,17,42,89,28
7,20,67,55,5,41,19,47,25,34
72,74,49,72,3,33,35,16,24,24
55,60,80,83,91,55,40,73,22,51
24,54,62,13,97,33,37,65,64,34
60,90,28,82,88,96,61,12,71,17
83,82,64,69,23,57,72,93,14,64
43,23,10,59,81,56,51,22,45,43
49,54,6,29,10,30,80,48,5,98
81,34,79,13,100,78,95,53,86,99
55,41,80,74,51,60,13,17,66,55
86,22,9,25,4,21,58,91,34,37
44,100,12,73,67,70,35,19,86,84
39,33,95,33,21,6,23,1,46,76
72,47,37,15,22,59,86,81,61,61
5,9,84,89,81,62,24,76,99,14
37,85,66,33,64,27,91,30,79,30
61,62,13,45,8,7,96,97,85,28
80,73,4,78,20,48,35,54,86,30
15,26,2,47,94,54,20,5,7,31
53,87,100,49,65,38,15,95,72,75
94,53,72,67,34,4,81,31,94,85
32,72,34,25,74,37,10,16,21,84
98,97,58,42,87,7,63,40,9,55
68,7,73,66,83,12,9,52,97,60
57,58,14,100,32,64,53,85,34,3
52,32,98,68,96,7,100,30,45,38
78,15,29,26,69,40,44,33,82,89
11,63,82,38,2,97,54,88,65,24
62,54,40,8,38,55,6,6,58,92
25,44,72,99,27,73,29,48,80,12
100,44,92,38,6,16,84,50,92,21
33,72,3,86,5,99,45,91,16,31
70,75,27,8,29,58,71,4,48,34
99,65,2,65,60,92,40,60,96,36
93,70,35,82,4,80,3,7,71,40
1,35,55,62,62,70,36,17,61,19
10,55,86,35,65,50,37,48,55,70
50,62,5,95,37,6,47,43,85,73
4,6,73,6,53,25,2,74,42,1
29,100,45,25,5,4,39,99,65,55
63,83,54,65,84,0,26,74,68,73
14,78,71,63,4,63,86,9,66,14
2,16,50,25,48,39,43,62,10,41
89,55,89,52,82,41,68,0,25,61
93,66,75,100,77,83,57,47,74,18
60,71,69,89,12,55,60,30,94,51
72,49,91,47,55,33,52,41,98,46
99,6,38,75,14,65,88,26,63,22
33,27,10,52,0,76,93,0,76,81
97,99,7,84,92,6,68,74,8,58
42,30,82,62,84,44,77,96,46,69
80,24,89,68,69,37,61,56,49,35
76,29,8,61,0,52,55,64,31,83
1,14,100,56,92,77,67,96,8,17
33,57,4,21,44,88,38,2,50,85
44,19,56,68,24,67,14,52,24,99
11,45,32,73,1,5,62,7,49,75
80,71,30,56,42,31,61,7,27,91
85,99,0,15,21,71,47,8,41,11
92,90,91,89,63,61,27,83,77,98
59,97,92,79,82,94,64,24,81,93
67,98,75,33,82,63,29,8,57,36
52,3,90,96,94,2,42,20,37,4
64,93,82,32,95,94,6,28,14,46
42,28,57,11,12,40,29,71,81,16
43,42,17,30,18,89,4,60,26,27
88,64,39,3,45,5,20,81,83,97
99,78,67,58,2,93,41,50,28,7
85,49,53,61,84,71,23,12,78,15
87,46,91,39,0,96,20,93,69,60
17,53,1,38,15,3,50,71,22,64
50,74,45,16,46,92,86,90,99,74
78,9,29,15,13,59,73,60,33,18
85,100,47,66,56,4,92,2,99,21
93,9,49,27,1,61,7,60,7,21
75,77,72,76,36,5,84,92,7,76
32,65,71,31,17,93,82,27,4,60
52,33,66,53,86,100,9,6,30,82
22,80,42,86,3,16,64,57,11,64
19,19,17,41,100,63,54,70,31,31
10,75,24,19,53,82,74,13,86,83
26,80,30,31,41,33,67,51,53,46
85,51,49,32,54,21,82,24,50,59
72,88,59,52,0,40,50,16,45,44
46,27,2,46,19,19,22,19,99,10
81,32,18,96,62,0,44,65,45,50
36,78,95,3,37,58,55,36,10,29
90,94,57,39,96,49,15,70,62,79
51,8,100,86,69,53,9,54,29,58
7,90,69,77,39,56,58,71,84,48
86,11,59,68,7,42,44,80,29,90
88,98,8,17,16,96,61,71,43,72
23,21,73,33,33,11,87,88,52,10
67,19,100,20,21,69,43,78,35,81
23,12,16,83,72,8,8,65,40,91
59,1,39,98,6,21,11,58,39,34
50,92,5,72,49,46,9,55,97,14
38,42,3,96,58,97,24,90,95,75
16,29,56,85,47,77,12,87,3,38
68,39,91,51,31,80,89,74,97,84
32,31,99,93,7,27,81,38,100,99
20,10,21,29,63,83,17,56,57,88
41,18,78,73,82,74,74,55,58,52
74,40,30,9,85,85,11,54,58,76
14,22,33,73,98,15,49,28,10,83
64,61,79,83,90,38,51,35,35,27
64,45,84,13,48,10,45,57,44,52
78,22,33,59,26,58,49,76,61,33
26,38,18,21,15,53,51,46,65,76
80,6,54,60,80,1,12,33,44,21
64,81,12,79,30,41,50,100,1,71
69,46,61,96,18,20,93,4,67,40
96,61,13,9,31,39,27,100,42,60
41,48,63,63,69,81,12,87,90,34
28,4,29,31,65,17,97,41,74,25
70,39,44,81,84,88,29,54,56,59
54,2,36,2,1,8,26,73,63,73
37,55,85,90,9,72,29,84,99,89
31,37,13,89,47,18,15,62,74,57
90,66,11,25,41,36,4,59,90,6
53,40,81,22,38,20,61,85,42,31
11,91,86,77,7,66,68,78,65,23
5,6,34,87,10,99,59,0,92,52
79,92,4,47,61,58,45,7,5,36
36,31,53,50,9,42,42,22,19,45
70,73,15,22,70,81,33,64,48,24
20,90,38,80,75,41,77,71,82,13
75,52,72,87,38,17,72,57,19,40
78,44,29,21,95,9,55,93,49,17
91,97,99,72,6,6,31,53,36,97
41,60,78,60,80,73,69,29,33,99
14,99,48,2,77,38,40,5,6,18
90,94,46,36,4,41,46,44,12,67
58,30,99,71,47,24,74,45,33,64
68,67,12,51,66,90,32,50,27,77
9,99,14,5,96,51,37,51,18,69
15,19,80,55,32,58,62,83,77,72
92,57,79,40,3,70,48,25,79,58
51,93,29,32,87,38,65,72,58,84
63,86,25,88,32,78,31,18,21,34
45,44,29,10,61,78,60,89,62,67
7,44,10,6,24,10,77,87,6,86
93,96,79,11,40,68,12,58,2,5
94,83,65,99,31,41,85,31,38,0
20,67,64,3,71,0,89,92,21,83
53,68,83,20,29,37,64,56,15,68
67,62,86,53,14,49,0,45,18,14
82,32,99,86,12,37,63,65,78,8
38,47,44,64,73,31,64,97,90,35
43,49,54,91,83,44,87,4,43,46
24,50,6,76,61,14,76,69,18,29
10,38,18,67,9,11,94,43,44,17
81,81,76,59,70,90,36,54,31,50
55,23,29,81,30,72,18,3,23,87
64,70,23,61,21,93,73,24,50,82
28,40,22,63,16,99,85,97,1,56
20,2,68,36,17,58,57,9,8,58
34,31,95,99,48,89,59,74,100,27
43,75,2,11,51,9,69,44,32,36
3,16,2,60,26,82,13,36,17,18
