dimension_1,dimension_2,dimension_3,dimension_4,dimension_5,dimension_6,dimension_7,dimension_8,dimension_9,dimension_10
84,23,58,93,91,30,88,83,35,16
31,45,81,83,50,55,17,88,87,74
30,24,7,97,16,69,63,48,44,51
91,42,62,2,57,91,24,0,24,65
91,66,70,59,71,6,16,20,9,62
21,94,1,79,80,24,74,73,30,46
50,90,93,36,49,6,67,0,80,95
23,8,59,29,71,76,38,90,94,88
100,93,53,78,92,94,67,91,10,55
33,60,30,93,82,79,64,35,77,84
8,82,15,93,8,9,76,14,14,12
52,58,96,40,69,15,4,58,74,100
79,43,41,57,1,30,26,38,70,0
77,32,67,43,29,61,78,46,51,6
69,86,20,32,6,36,31,46,79,43
35,5,4,17,92,99,77,39,97,84
70,73,22,85,74,40,82,7,80,63
25,83,79,98,1,21,33,5,91,73
58,84,1,73,56,68,88,88,24,2
69,62,9,45,85,85,93,84,57,17
89,97,9,9,25,90,68,40,22,65
11,19,42,81,23,46,59,39,92,17
70,24,10,81,19,79,32,68,11,77
67,74,82,98,61,100,73,24,1,52
16,51,17,37,37,98,76,91,69,89
93,19,45,60,20,39,36,30,78,11
16,89,99,78,0,70,19,62,35,97
3,94,66,93,23,96,5,41,11,43
97,45,63,91,85,12,19,77,3,94
82,60,33,20,90,37,26,96,36,71
39,64,30,46,95,74,63,38,73,96
54,58,9,2,70,76,53,32,4,80
72,30,93,64,68,78,97,10,40,20
43,11,49,33,65,76,29,0,70,27
73,79,76,91,88,72,59,67,28,10
66,90,83,31,67,82,55,96,73,91
29,63,24,65,35,90,78,24,61,88
8,0,71,97,10,2,54,29,74,11
46,11,47,74,36,8,63,98,3,54
82,63,94,50,64,66,63,81,99,59
94,29,75,25,29,65,27,88,32,8
32,25,94,41,59,66,78,94,93,76
46,16,71,35,75,22,49,61,21,47
66,55,99,92,95,5,97,64,88,99
67,87,53,18,8,22,88,17,25,92
79,78,69,7,1,7,45,69,15,87
40,98,19,56,90,10,69,16,55,26
37,20,90,62,18,24,79,97,10,25
22,24,66,28,78,47,0,12,85,64
19,52,33,13,43,10,19,42,57,38
17,24,20,22,76,2,40,67,33,2
71,100,88,32,80,55,83,55,28,23
68,25,20,53,12,42,53,15,34,25
40,13,70,18,5,2,61,80,68,30
2,83,83,42,73,82,44,75,91,78
84,35,44,9,44,80,76,43,91,95
30,39,42,11,87,27,3,62,70,19
9,1,78,3,67,59,55,74,62,98
78,22,18,5,20,18,3,77,66,56
19,91,82,10,88,69,30,93,82,56
55,29,39,51,87,28,94,89,25,99
97,90,99,85,55,4,89,69,16,81
46,34,11,45,56,45,45,61,62,48
69,38,59,69,76,29,81,23,92,42
86,67,38,31,72,87,83,19,33,11
2,42,47,6,64,19,73,15,11,54
55,55,84,63,61,14,73,47,100,23
91,15,38,52,83,27,27,70,97,13
61,4,16,37,4,15,97,22,76,31
43,62,64,43,100,100,91,53,84,34
46,84,35,52,84,29,7,8,86,99
13,16,38,31,66,76,82,23,95,17
16,74,28,98,69,59,65,83,68,52
56,73,90,45,72,84,85,50,11,88
74,21,13,34,35,14,65,53,3,82
60,37,57,52,78,21,72,81,53,53
44,35,71,5,21,38,9,17,51,26
3,60,53,87,6,97,38,85,31,96
7,16,69,91,73,97,63,39,63,89
90,16,21,31,82,15,83,30,72,4
63,20,18,100,92,16,48,15,59,48
71,7,72,55,82,13,19,82,91,77
12,18,85,62,14,72,100,10,72,46
94,61,41,61,16,1,71,19,9,75
77,88,22,14,76,7,52,80,12,48
86,14,41,61,73,80,51,9,4,90
100,96,13,25,34,89,35,19,85,36
58,19,50,58,54,78,66,21,81,59
21,66,13,53,74,55,15,93,28,41
58,27,67,79,53,49,29,42,50,43
36,83,7,4,24,81,48,30,12,10
17,31,18,14,33,14,40,68,26,33
97,25,90,96,67,0,32,15,40,55
62,43,63,56,76,87,43,2,81,53
14,53,60,95,66,27,92,1,1,36
96,33,96,100,22,9,57,45,68,59
51,58,51,81,52,98,81,31,100,4
35,43,35,95,50,39,65,68,29,16
77,74,11,63,27,15,16,44,86,81
73,59,27,57,92,8,90,19,5,22
55,61,70,48,72,48,63,72,53,53
2,0,93,87,99,8,53,22,64,88
58,67,99,25,80,23,66,69,0,13
13,78,69,65,64,11,57,90,3,44
6,53,82,1,10,64,87,6,35,97
18,46,88,65,62,96,30,16,8,11
73,10,5,87,20,4,77,2,40,34
2,89,43,22,34,57,77,74,10,98
28,51,54,54,68,9,0,26,5,41
22,25,77,56,4,57,35,10,38,18
39,37,47,24,61,73,41,93,94,92
93,41,13,70,7,3,61,87,83,77
74,47,27,83,90,26,54,75,15,69
76,6,42,34,66,42,10,35,6,9
98,27,28,48,99,22,98,14,26,32
16,0,94,20,57,81,20,36,56,36
99,46,6,32,37,76,35,73,61,14
68,72,8,20,54,92,27,7,2,53
50,46,71,55,93,3,98,19,43,4
64,26,49,15,90,4,45,70,28,58
66,32,67,8,80,89,32,59,17,14
47,31,74,27,71,31,90,53,9,4
30,3,84,48,57,43,55,3,82,1
92,30,3,22,83,48,59,49,59,90
40,45,94,84,5,87,99,52,36,2
61,46,56,58,28,20,31,90,59,42
74,21,74,6,82,12,35,36,8,70
24,66,75,81,91,10,29,10,87,46
33,4,30,99,10,14,5,35,47,42
74,36,65,44,5,54,35,34,84,80
21,68,10,21,92,38,89,47,50,46
33,29,8,8,68,62,8,71,73,62
81,18,66,63,86,93,64,57,11,78
31,74,21,97,63,17,0,86,20,92
64,90,37,9,74,76,26,5,59,44
14,85,1,48,94,69,69,88,75,37
27,64,87,16,99,78,8,80,56,91
34,79,82,10,76,73,4,73,31,34
8,79,20,84,12,23,77,9,66,90
2,3,86,34,67,73,77,34,50,7
98,92,64,54,78,84,81,60,61,39
96,92,15,96,49,23,13,88,68,47
20,18,58,35,62,83,42,96,98,24
30,60,76,41,66,71,57,49,84,48
25,62,26,39,17,46,50,41,46,74
45,34,52,86,62,36,73,56,38,83
71,15,68,31,6,64,28,27,44,78
21,56,20,35,95,26,53,57,72,17
74,92,91,88,55,75,51,100,22,100
27,34,14,47,32,71,83,41,43,92
89,62,28,98,27,60,33,10,90,17
34,75,73,66,87,60,91,99,7,21
79,24,75,64,53,21,60,85,58,43
2,64,22,45,74,5,26,24,0,80
72,8,36,27,63,57,3,52,67,26
16,9,38,9,13,22,66,49,4,83
8,95,73,2,91,47,1,4,38,94
37,23,80,46,26,96,49,49,50,86
82,82,68,56,62,20,2,53,83,33
1,29,44,90,72,9,5,87,91,54
40,100,75,84,38,26,67,61,95,50
84,36,70,30,71,4,6,41,22,85
9,26,30,79,63,3,77,21,78,0
49,98,8,3,26,64,99,35,4,83
25,79,28,27,65,37,4,26,15,97
11,97,96,60,83,61,78,13,18,12
84,25,48,83,68,51,57,9,33,72
98,59,11,59,46,9,66,22,4,62
4,97,60,48,73,86,87,4,36,24
75,8,69,70,52,12,56,92,37,94
86,40,89,75,87,31,97,80,77,39
12,88,55,18,4,14,26,73,44,97
72,24,12,97,8,17,7,63,26,54
18,87,34,32,87,95,94,53,87,4
41,54,3,97,11,95,29,46,69,85
14,29,50,11,28,85,8,59,19,21
76,89,69,38,38,18,21,96,95,10
64,65,1,7,79,100,12,41,6,32
45,2,45,35,38,90,0,10,67,9
57,92,44,53,99,91,35,68,12,79
64,2,47,77,50,8,48,78,14,83
74,7,34,73,55,91,23,91,85,86
17,28,68,45,94,52,80,37,95,80
52,84,30,39,81,12,97,75,33,38
77,26,92,12,43,86,49,0,92,40
36,99,17,5,46,79,55,39,92,12
9,3,16,44,8,100,31,79,55,45
79,92,77,34,98,36,50,91,53,84
38,72,97,13,31,29,34,31,49,98
73,93,49,79,49,71,47,20,45,80
78,96,85,24,39,15,22,42,20,68
78,27,2,31,36,97,25,60,23,44
0,42,64,57,63,39,25,11,5,62
42,8,35,28,43,60,85,49,73,43
92,75,27,98,58,64,94,92,86,33
54,75,33,40,79,38,69,10,48,45
56,0,30,49,9,85,71,13,85,31
99,97,13,83,1,77,18,66,36,36
92,35,88,47,23,28,0,15,33,71
78,52,4,70,67,44,91,70,26,87
50,68,65,50,22,89,0,87,23,60
29,6,47,26,76,51,80,1,29,21
87,36,69,48,22,24,33,24,28,69
65,75,34,62,8,43,60,15,29,88
73,85,76,69,95,37,1,98,67,93
14,83,2,66,60,39,95,57,85,92
40,45,73,21,80,41,72,26,55,28
76,75,0,36,60,28,94,49,86,8
25,63,25,54,9,35,75,47,65,35
61,65,52,3,7,0,88,44,35,63
75,11,5,72,29,51,26,82,59,50
85,91,51,25,18,60,27,64,59,52
58,36,85,7,66,26,48,95,75,100
92,0,16,2,91,92,12,93,70,95
98,12,12,20,24,12,21,52,94,90
34,3,63,96,76,18,22,59,81,79
76,45,70,50,83,87,78,85,81,76
7,21,14,8,85,84,82,27,38,78
53,1,37,2,70,87,22,99,21,14
49,23,1,23,33,7,9,18,64,58
2,75,26,97,31,6,8,61,77,87
17,42,19,7,70,91,56,57,38,17
86,93,90,7,75,51,63,4,7,33
97,19,38,16,18,70,6,52,35,48
35,3,61,100,76,90,16,76,46,46
62,4,95,9,82,86,61,84,72,63
63,82,45,24,45,95,74,72,78,100
5,79,80,37,41,46,49,62,24,82
35,66,6,32,40,43,61,67,31,6
10,16,26,69,89,94,13,7,5,59
53,91,50,0,96,63,50,32,51,69
0,25,98,3,40,28,13,84,39,12
23,24,59,6,6,72,81,48,58,97
71,13,31,72,99,0,92,30,42,25
28,50,56,62,54,42,57,43,81,92
3,25,44,9,16,45,45,43,71,69
10,19,100,0,98,98,84,43,32,69
62,57,91,33,13,28,68,60,41,56
52,76,94,18,59,54,48,51,43,50
58,33,98,99,10,75,47,63,12,45
90,34,32,26,72,7,8,52,61,63
99,58,43,94,42,89,89,30,79,68
28,27,53,55,86,25,3,6,71,76
19,20,87,90,47,27,90,47,10,97
23,32,83,19,72,88,14,83,12,59
11,24,19,99,91,57,39,22,36,4
11,81,59,57,46,33,72,83,28,26
0,35,14,88,92,8,82,81,68,68
23,63,96,6,9,91,54,90,65,3
51,48,79,83,29,27,21,4,87,1
46,76,51,27,62,74,34,48,24,19
95,33,52,99,76,10,74,91,6,47
