dimension_1,dimension_2,dimension_3,dimension_4,dimension_5,dimension_6,dimension_7,dimension_8,dimension_9,dimension_10,dimension_11,dimension_12,dimension_13,dimension_14,dimension_15,dimension_16,dimension_17,dimension_18,dimension_19,dimension_20
98,77,37,67,35,93,51,9,95,26,14,48,66,81,86,12,6,12,85,93
38,76,82,26,71,66,65,16,90,22,54,63,79,87,55,28,54,75,14,39
100,75,8,2,16,5,19,40,80,92,89,62,90,87,82,54,27,85,31,76
98,80,97,47,74,100,20,23,26,18,95,59,37,87,89,19,93,74,27,20
13,10,4,97,61,48,65,48,69,38,41,19,7,7,79,69,45,18,94,2
68,49,48,23,16,15,53,43,95,62,33,82,67,14,18,48,49,70,61,58
39,15,59,56,50,10,17,5,53,40,99,58,33,67,14,66,83,100,48,19
35,90,11,28,64,1,83,1,24,13,33,36,65,98,60,54,33,1,24,47
33,47,16,94,52,99,29,92,33,3,28,16,70,63,59,1,6,31,63,22
92,53,60,38,46,54,37,17,12,64,12,70,66,40,34,57,42,36,10,83
60,92,29,69,64,17,43,68,31,91,69,33,28,47,58,11,37,82,98,9
45,22,57,72,43,53,0,63,68,72,17,92,74,45,22,37,98,9,84,85
100,37,48,2,47,48,11,66,17,72,52,90,41,29,54,61,1,16,98,18
55,91,87,80,30,62,92,15,5,19,78,96,72,37,72,41,83,73,77,67
5,36,78,42,75,57,45,67,22,27,55,23,61,96,59,30,72,16,52,83
32,99,42,97,14,93,3,100,73,1,88,74,75,88,93,92,65,81,52,46
64,35,18,73,77,33,24,96,42,52,95,14,21,62,59,90,75,67,80,34
70,77,20,36,86,44,33,60,19,16,47,11,46,65,16,45,8,80,21,66
15,32,14,32,24,99,34,81,12,12,38,13,82,16,38,38,23,46,26,12
3,74,39,69,16,90,84,27,39,96,87,58,9,74,50,28,46,82,66,93
58,80,70,75,20,65,96,60,8,29,100,58,33,74,94,95,65,89,22,8
67,66,99,49,25,65,39,38,55,68,87,8,2,54,62,0,67,59,31,55
28,27,10,83,6,62,95,94,41,18,59,4,30,99,22,83,12,100,78,59
61,7,5,87,44,63,37,17,72,92,59,53,14,100,44,59,39,79,83,12
62,20,94,45,2,40,6,73,94,73,86,59,32,10,4,13,49,9,82,65
94,8,20,41,88,76,91,18,17,19,7,27,11,39,30,69,87,72,53,86
