dimension_1,dimension_2,dimension_3,dimension_4,dimension_5,dimension_6,dimension_7,dimension_8,dimension_9,dimension_10,dimension_11,dimension_12,dimension_13,dimension_14,dimension_15,dimension_16,dimension_17,dimension_18,dimension_19,dimension_20
78,25,21,69,59,86,52,48,83,60,60,6,64,4,63,32,29,29,32,94
58,17,0,53,45,14,27,54,91,59,39,48,45,26,54,88,25,96,17,1
14,71,49,34,72,100,100,58,82,100,82,77,29,8,42,21,26,17,16,26
63,13,66,19,40,59,28,72,37,91,28,51,90,86,5,84,20,64,30,57
60,38,57,21,51,4,53,4,26,57,19,35,35,27,26,20,10,61,36,51
39,50,13,21,6,94,19,11,96,64,90,61,64,63,76,83,10,4,54,33
88,45,93,45,48,26,46,72,92,52,84,9,2,34,64,59,68,61,64,5
40,92,94,30,20,80,82,79,28,59,61,33,95,0,58,26,10,78,26,37
24,80,44,20,35,99,18,66,16,50,45,23,28,15,63,71,46,22,39,93
30,18,58,89,45,98,63,25,23,48,93,89,85,59,99,91,29,2,11,63
62,74,41,83,4,93,27,16,96,38,8,85,21,40,64,16,56,23,60,94
54,45,73,53,88,24,48,37,91,65,85,66,79,60,57,53,80,3,47,70
11,100,28,94,54,75,73,30,58,95,75,2,25,28,27,71,78,21,16,41
97,87,8,22,99,91,75,42,35,73,38,0,16,37,22,6,44,82,3,9
42,2,92,78,57,39,98,31,21,12,36,5,85,45,74,100,38,10,64,23
95,50,24,26,36,15,69,9,0,53,43,27,20,18,50,24,40,71,80,75
41,2,28,91,77,97,38,94,18,86,94,63,25,81,80,40,27,64,0,90
7,10,79,16,2,48,64,80,82,41,40,84,42,62,32,30,10,12,97,5
24,13,46,37,74,89,22,40,97,50,62,36,82,33,41,58,49,25,27,67
28,100,15,60,3,40,25,22,64,23,59,11,45,62,41,45,97,66,47,1
16,18,8,12,37,4,22,4,96,97,73,25,42,13,68,100,54,77,52,94
45,74,65,39,80,45,41,3,89,60,74,91,21,5,85,16,80,13,46,21
34,2,78,18,94,48,66,23,53,74,16,73,92,11,28,89,55,71,17,5
72,7,88,97,37,1,1,1,42,24,0,22,56,67,27,22,66,92,58,25
94,100,80,6,67,38,75,11,0,25,49,38,85,73,33,33,75,90,63,71
65,72,23,92,74,24,34,96,16,93,82,13,69,71,38,100,86,54,47,71
48,9,89,37,93,92,10,42,26,79,77,38,1,85,43,31,65,18,53,64
79,23,34,34,27,69,15,57,46,0,70,53,70,35,99,7,65,68,8,12
47,94,62,3,37,2,64,90,0,17,98,11,100,63,13,43,59,12,57,74
11,23,26,48,11,70,38,59,32,46,50,0,20,43,14,5,11,92,76,86
62,48,23,86,64,68,84,49,92,57,46,96,95,72,5,48,10,1,22,31
57,3,44,50,46,87,6,97,87,55,67,34,82,50,15,78,77,19,72,21
42,91,52,89,14,95,47,3,53,27,47,36,44,23,47,52,95,85,54,96
91,15,39,62,8,38,19,47,85,42,51,13,14,69,13,7,93,47,20,26
87,10,84,29,57,88,10,46,75,57,16,60,8,63,16,53,9,64,40,13
16,48,53,76,24,0,3,2,52,9,70,65,87,22,90,56,27,54,38,3
4,98,12,7,45,48,83,100,18,48,6,5,62,30,95,48,40,43,62,45
24,41,44,57,86,90,0,92,73,67,80,20,7,18,20,67,78,19,56,80
4,33,29,44,35,70,33,36,67,84,74,74,29,45,39,74,41,54,69,23
28,33,67,73,26,3,67,82,14,99,95,100,49,82,91,0,68,39,17,61
2,64,84,20,9,7,87,84,50,89,91,2,79,18,78,21,16,85,13,15
54,94,49,42,62,7,22,90,25,43,46,82,16,69,30,46,98,85,45,2
76,66,71,63,35,91,43,96,18,9,75,79,10,28,81,73,1,89,16,79
81,98,54,23,81,97,97,63,62,16,51,50,55,69,15,44,99,32,100,64
45,79,43,21,63,62,11,98,75,41,56,35,39,30,53,78,40,67,94,10
7,39,37,60,35,49,60,26,37,65,60,14,86,46,98,34,0,100,90,17
1,43,31,28,26,4,27,89,86,11,98,8,63,93,5,57,71,56,6,35
55,84,85,54,41,31,49,24,86,82,97,64,31,80,57,88,56,58,3,22
80,42,71,79,11,70,17,72,56,55,18,74,6,66,69,35,49,96,18,57
93,63,73,23,51,89,95,55,18,1,16,15,31,75,6,49,62,0,70,6
14,40,36,88,82,72,38,32,15,55,23,22,35,11,83,81,6,92,26,41
51,31,31,47,29,18,87,18,27,66,23,0,99,72,62,94,97,6,92,8
91,45,54,61,92,75,77,62,85,97,18,74,58,28,36,24,42,98,68,87
82,87,42,72,28,33,12,61,41,25,92,30,21,57,50,12,5,59,73,73
72,3,36,4,50,60,20,68,35,85,96,9,85,99,38,70,16,10,30,3
25,51,1,96,40,85,76,0,47,17,66,20,18,58,41,66,36,37,26,73
36,62,0,77,80,59,88,74,56,41,4,40,80,90,95,48,57,46,52,59
45,91,15,65,24,12,43,28,71,51,82,20,68,92,100,20,54,95,2,78
48,72,31,71,44,88,51,22,13,99,55,15,38,45,20,42,47,77,34,7
23,17,58,16,98,95,1,48,0,44,59,32,45,49,40,49,41,28,96,46
40,4,85,41,16,71,9,17,16,83,80,96,31,31,34,50,26,46,23,84
32,17,76,43,36,33,61,84,36,97,66,44,4,16,48,50,60,53,52,0
79,3,96,96,90,61,63,21,93,16,38,61,50,69,46,76,1,11,55,88
63,29,40,48,54,76,47,51,44,5,87,57,86,25,4,12,50,55,47,42
87,11,4,6,27,13,3,75,75,76,61,21,98,60,37,25,83,34,45,59
36,12,88,93,95,27,46,89,68,97,89,23,27,38,3,54,25,61,81,47
75,80,85,46,52,39,37,42,64,88,97,24,35,62,87,22,83,42,96,51
36,59,54,33,86,88,83,54,12,73,97,98,79,93,99,7,44,89,85,93
55,18,26,72,88,74,76,95,75,39,67,93,49,25,74,13,56,13,51,76
78,91,27,83,96,16,19,53,64,29,42,26,59,92,32,68,71,39,71,11
91,59,96,28,36,92,74,80,72,3,19,94,6,97,88,60,2,6,65,98
2,59,15,37,12,52,31,30,39,21,19,89,88,38,18,58,10,11,12,2
94,51,99,48,73,22,35,8,96,43,39,54,69,44,88,62,43,95,83,4
36,49,60,79,36,52,29,76,74,45,50,59,51,80,6,12,61,68,72,73
6,9,71,16,80,24,70,40,7,37,38,24,57,39,99,59,38,77,62,52
65,65,76,27,57,67,42,4,43,23,83,87,5,13,49,13,16,98,40,71
56,75,59,37,34,55,35,84,77,70,72,58,47,32,84,53,65,38,49,45
23,82,53,36,58,77,65,88,0,53,26,7,49,76,89,15,36,58,98,78
63,20,29,83,86,0,22,47,2,2,37,1,65,28,66,93,6,6,71,73
69,13,83,9,38,99,60,100,15,72,33,1,43,61,37,100,83,1,36,62
0,98,27,12,87,78,91,69,84,14,85,45,91,12,60,59,90,9,56,10
43,5,76,69,23,14,59,41,72,98,59,18,65,67,20,16,49,38,76,2
76,74,33,25,44,12,47,74,55,78,95,80,68,0,37,52,6,100,79,15
2,41,1,68,18,81,79,47,19,24,11,69,4,87,56,45,15,13,37,61
34,22,80,62,9,58,33,64,26,19,87,73,100,48,90,68,18,68,66,34
25,84,57,16,18,91,34,35,62,18,24,84,95,83,95,19,70,32,61,4
97,100,73,51,89,54,17,30,75,31,65,53,53,49,95,85,69,8,44,68
